redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
RENAMED,user-guide/calculated-fields/script-calculated-field,user-guide/calculated-fields/script,/docs/user-guide/calculated-fields/script/,/docs/user-guide/calculated-fields/script-calculated-field/ /docs/user-guide/calculated-fields/script/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/script-calculated-field/
RENAMED,user-guide/calculated-fields/simple-calculated-field,user-guide/calculated-fields/simple,/docs/user-guide/calculated-fields/simple/,/docs/user-guide/calculated-fields/simple-calculated-field/ /docs/user-guide/calculated-fields/simple/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/simple-calculated-field/
RENAMED,user-guide/calculated-fields/time-series-data-aggregation-calculated-field,user-guide/calculated-fields/time-series-data-aggregation,/docs/user-guide/calculated-fields/time-series-data-aggregation/,/docs/user-guide/calculated-fields/time-series-data-aggregation-calculated-field/ /docs/user-guide/calculated-fields/time-series-data-aggregation/ 301,,https://thingsboard.io/docs/user-guide/calculated-fields/time-series-data-aggregation-calculated-field/
RENAMED,user-guide/entities-and-relations,user-guide/digital-twins/relations,/docs/user-guide/digital-twins/relations/,/docs/user-guide/entities-and-relations/ /docs/user-guide/digital-twins/relations/ 301,,https://thingsboard.io/docs/user-guide/entities-and-relations/
RENAMED,user-guide/install/building-from-source,installation/building-from-source,/docs/installation/building-from-source/,/docs/user-guide/install/building-from-source/ /docs/installation/building-from-source/ 301,,https://thingsboard.io/docs/user-guide/install/building-from-source/
RENAMED,user-guide/install/config,reference/configuration/how-to-change-config,/docs/reference/configuration/how-to-change-config/,/docs/user-guide/install/config/ /docs/reference/configuration/how-to-change-config/ 301,,https://thingsboard.io/docs/user-guide/install/config/
RENAMED,user-guide/install/docker,installation/docker,/docs/installation/docker/,/docs/user-guide/install/docker/ /docs/installation/docker/ 301,,https://thingsboard.io/docs/user-guide/install/docker/
RENAMED,user-guide/install/docker-windows,installation/docker-windows,/docs/installation/docker-windows/,/docs/user-guide/install/docker-windows/ /docs/installation/docker-windows/ 301,,https://thingsboard.io/docs/user-guide/install/docker-windows/
RENAMED,user-guide/install/edge/building-from-source,edge/installation/building-from-source,/docs/edge/installation/building-from-source/,/docs/user-guide/install/edge/building-from-source/ /docs/edge/installation/building-from-source/ 301,,https://thingsboard.io/docs/user-guide/install/edge/building-from-source/
RENAMED,user-guide/install/edge/deb-installation,edge/installation/ubuntu,/docs/edge/installation/ubuntu/,/docs/user-guide/install/edge/deb-installation/ /docs/edge/installation/ubuntu/ 301,,https://thingsboard.io/docs/user-guide/install/edge/deb-installation/
